Year,US,Canada,Total
1966,137000,700,137700
1967,177660,36710,214370
1968,60820,61360,122180
1969,86280,93850,180130
1970,159580,75010,234590
1971,127920,26700,154620
1972,74130,43410,117540
1973,147510,15130,162640
1974,194110,17150,211260
1975,205650,15700,221350
1976,231550,5970,237520
1977,127500,5190,132690
1978,98377,5260,103637
1979,124680,12430,137110
1980,72350,17580,89930
1981,114760,24360,139120
1982,75581,32160,107741
1983,73151,40780,113931
1984,96382,42110,138492
1985,85439,24960,110399
1986,154966,55650,210616
1987,160448,73700,234148
1988,160690,88150,248840
1989,203050,95029,298079
1990,185142,76144,261286
1991,229789,89917,319705
1992,210829,88822,299650
1993,140132,58773,198905
1994,253477,108930,362407
1995,177124,72372,249495
1996,213159,93139,306299
1997,233376,91771,325147
1998,232920,87802,320722
1999,224565,87322,311887
2000,206770,22007,228777
2001,173940,53585,227525
2002,130453,50244,180697
2003,141945,63217,205162
2004,217240,125067,342307
2005,260120,103014,363135
2006,266955,94744,361699
2007,217682,68976,286658
2008,248496,70251,318746
2009,121324,57359,178683
2010,171043,53072,224115
2011,231261,51137,282398
2012,160144,46627,206771
2013,233558,52249,285807
2014,264141,35113,299254
2015,154156,39678,193834
2016,262590,69740,332330
2017,354231,86713,440944
