ParName   Value   Gradient
MGparm[1]     0.213568  0.000195245
SR_parm[1]       14.543 -0.000277725
SR_parm[2]     0.864681 -3.22034e-05
recdev_early(1946)    -0.645969  9.34546e-07
recdev_early(1947)    -0.232541 -1.66076e-06
recdev_early(1948)    -0.275734  2.86855e-07
recdev_early(1949)    -0.324979  1.13314e-06
recdev_early(1950)    -0.380589  1.23461e-06
recdev_early(1951)    -0.442787  -4.9726e-09
recdev_early(1952)    -0.510499 -1.31583e-06
recdev_early(1953)    -0.586833 -3.61662e-06
recdev_early(1954)    -0.667274 -2.97731e-06
recdev_early(1955)    -0.748786  -5.3485e-07
recdev_early(1956)     -0.83416  3.83749e-06
recdev_early(1957)     -0.91701 -1.34995e-06
recdev_early(1958)     -0.99456  -2.6139e-06
recdev_early(1959)     -1.05944 -8.33284e-06
recdev_early(1960)     -1.09347  4.30883e-06
recdev_early(1961)     -1.06745  -5.4314e-06
recdev_early(1962)    -0.955874  4.82535e-10
recdev_early(1963)    -0.789457 -3.59798e-06
recdev_early(1964)    -0.539102 -1.59164e-06
recdev_early(1965)    -0.185234 -5.93296e-06
recdev_early(1966)    -0.087635 -7.08596e-06
recdev_early(1967)     0.808492 -1.22692e-05
recdev_early(1968)     0.577947 -3.26982e-06
recdev_early(1969)    -0.406148  1.68621e-06
recdev1(1970)      1.84114 -7.67524e-06
recdev1(1971)    -0.179491  1.88213e-05
recdev1(1972)    -0.730993  2.25887e-05
recdev1(1973)      1.56013  2.92365e-05
recdev1(1974)     -1.05994  1.80131e-05
recdev1(1975)     0.385485  2.45263e-05
recdev1(1976)     -1.63084  1.95169e-05
recdev1(1977)      1.71001  2.73755e-05
recdev1(1978)     -2.07176  1.62918e-05
recdev1(1979)     0.148354  1.81583e-05
recdev1(1980)      2.75749  8.39644e-06
recdev1(1981)     -1.45998  1.86327e-05
recdev1(1982)     -1.39464  2.11976e-05
recdev1(1983)     -0.79684  1.61121e-05
recdev1(1984)      2.52622   2.4021e-05
recdev1(1985)     -2.12732  1.45741e-05
recdev1(1986)     -1.77109  1.47922e-05
recdev1(1987)       1.7711  2.24596e-05
recdev1(1988)      0.70095  2.44656e-05
recdev1(1989)      -1.9984  1.96006e-05
recdev1(1990)      1.37769  2.17972e-05
recdev1(1991)      0.21785  1.07129e-05
recdev1(1992)     -1.93938  1.82857e-05
recdev1(1993)      1.12882  -8.1819e-06
recdev1(1994)      1.18466 -2.60733e-05
recdev1(1995)     0.256226 -3.90304e-06
recdev1(1996)     0.607865 -8.92643e-06
recdev1(1997)    0.0205002  1.83649e-05
recdev1(1998)      0.66003 -2.70344e-05
