age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
15,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.099,0.358,0.62,0.79,0.875,0.917,0.937,0.948
14,0,0,0,0,0,0,0,0,0,0,0,0.002,0.06,0.235,0.284,0.201,0.121,0.071,0.046,0.032,0.025
13,0,0,0,0,0,0,0,0,0,0,0,0.038,0.242,0.332,0.22,0.116,0.059,0.034,0.023,0.017,0.014
12,0,0,0,0,0,0,0,0,0,0,0.022,0.24,0.384,0.235,0.103,0.047,0.022,0.013,0.01,0.008,0.007
11,0,0,0,0,0,0,0,0,0,0.011,0.229,0.44,0.242,0.083,0.029,0.013,0.006,0.004,0.004,0.003,0.004
10,0,0,0,0,0,0,0,0,0.005,0.211,0.498,0.24,0.06,0.015,0.005,0.003,0.001,0.001,0.001,0.001,0.002
9,0,0,0,0,0,0,0,0.002,0.189,0.556,0.229,0.038,0.006,0.001,0.001,0,0,0,0,0,0.001
8,0,0,0,0,0,0,0.001,0.165,0.612,0.211,0.022,0.002,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.142,0.666,0.189,0.011,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0.121,0.714,0.165,0.005,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.103,0.757,0.142,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0.087,0.794,0.121,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.075,0.825,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.064,0.85,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.936,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
