"years","am.obs","am.model"
1967,-1.2,7.4875764777786
1968,-1.2,6.79635384156446
1969,-1.2,5.90146654293375
1970,-1.2,5.33889453289055
1971,-1.2,5.37331029749588
1972,-1.2,5.18176384100329
1973,-1.2,5.26495338818853
1974,-1.2,5.66637937871097
1975,4.36626,5.85813725014463
1976,6.97273,6.05554976558733
1977,6.09344,6.50001909092081
1978,6.81632,6.91681737118514
1979,6.54498,6.69801135462105
1980,7.02302,6.71236692741886
1981,5.57793,6.66746374766194
1982,5.66748,5.58421384021407
1983,6.27039,5.31019457985063
1984,5.43272,5.75408798721122
1985,5.45754,6.30448883399276
1986,6.3358,6.03872708572066
1987,6.23023,6.02048725766645
1988,7.28291,6.39233532912803
1989,6.49497,6.46792263172736
1990,6.97523,6.44631842432962
1991,6.46516,6.31803812217727
1992,7.29671,7.02281711679302
1993,6.90429,6.66586103017806
1994,7.7888,7.32853275315056
1995,7.90777,7.52213253097115
1996,6.50359,6.25644146768218
1997,5.88616,4.70914188998131
1998,5.36963,5.75007549760516
1999,5.12711,5.60674509847309
2000,6.14794,6.23507494772351
2001,5.15614,5.37314828094712
2002,4.64625,4.88019813983388
2003,4.90949,5.16191518713824
2004,5.38904,5.7060285980545
2005,6.25082,6.4178018321096
2006,6.45647,6.79201604122782
2007,6.54917,6.87865346837229
2008,5.71893,6.25659909936881
2009,5.48935,6.16112556409078
2010,4.46972,5.13666635030858
2011,3.45489,4.06606625947364
2012,3.55368,3.93852178774288
2013,4.09603,4.17307266231917
2014,4.73459,4.93061033513627
2015,5.00503,5.30046720415304
2016,4.12297,4.72059138598125
2017,5.56745,5.68337641795001
