"years","cflag","sflag","survey_x","ss.catch","ss.survey","ss.error"
1966,-1,-1,-2,0,0,1
1967,-1,-1,-2,0,0,1
1968,-1,-1,-2,0,0,1
1969,-1,-1,-2,0,0,1
1970,-1,-1,-2,0,0,1
1971,-1,-1,-2,0,0,1
1972,-1,-1,-2,0,0,1
1973,-1,-1,-2,0,0,1
1974,-1,-1,-2,0,0,1
1975,1,-1,-2,13,0,1
1976,1,-1,-2,142,0,1
1977,1,-1,-2,320,0,1
1978,1,-1,-2,341,0,1
1979,1,-1,-2,116,0,1
1980,1,-1,-2,221,0,1
1981,1,-1,-2,154,0,1
1982,1,-1,-2,170,0,1
1983,1,-1,-2,117,0,1
1984,1,-1,-2,123,0,1
1985,1,-1,-2,57,0,1
1986,1,-1,-2,120,0,1
1987,1,-1,-2,56,0,1
1988,1,-1,-2,84,0,1
1989,1,-1,-2,80,0,1
1990,1,-1,-2,163,0,1
1991,1,-1,-2,160,0,1
1992,1,-1,-2,243,0,1
1993,1,-1,-2,172,0,1
1994,1,-1,-2,235,0,1
1995,1,1,2,147,69,0.089296
1996,1,-1,-2,186,0,1
1997,1,-1,-2,220,0,1
1998,1,1,2,243,105,0.0525960000000001
1999,1,-1,-2,509,0,1
2000,1,-1,-2,530,0,1
2001,1,1,2,540,57,0.105896
2002,1,-1,-2,449,0,1
2003,1,1,2,456,71,0.0641959999999999
2004,1,-1,-2,501,0,1
2005,1,1,2,613,47,0.063796
2006,1,-1,-2,720,0,1
2007,1,1,2,629,69,0.0765959999999999
2008,1,-1,-2,794,0,1
2009,1,1,2,685,72,0.099496
2010,1,-1,-2,874,0,1
2011,1,1,2,1081,46,0.117696
2012,1,1,2,851,94,0.067296
2013,1,1,2,1094,67,0.0645960000000001
2014,1,-1,-2,1153,0,1
2015,1,1,2,798,78,0.0828960000000001
2016,1,-1,-2,1440,0,1
2017,1,1,2,1300,59,0.063196
2018,1,-1,-2,1059,0,1
