year,nfish,nhauls,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Country,Fleet,Catch
2008,1757,356,0.16,9.78,40.43,1.99,12.57,1.13,4.25,3.37,23.59,1.35,0.52,0.5,0.03,0.29,0.04,US,Catchprocessor,108195
2009,1323,278,0.96,0.86,33.18,42.88,1.96,8.04,0.91,1.28,0.58,7.83,1.09,0.07,0.13,0.22,0,US,Catchprocessor,34552
2010,976,331,0,13.91,8.3,41.94,29.31,1.27,1.42,0.06,0.34,0.18,2.81,0.32,0,0.09,0.05,US,Catchprocessor,54284
2011,1185,506,6.92,16.79,53.03,1.83,9.12,7.22,1.47,0.69,0.36,0.33,0.04,1.79,0.23,0.09,0.09,US,Catchprocessor,71678
2012,981,332,0,50.41,9.94,23.82,2.95,5.3,2.72,1.64,0.79,0.28,0.47,0.49,0.56,0.33,0.31,US,Catchprocessor,55264
2013,1402,474,0.1,0.51,72.04,7.12,13.8,1.5,1.19,1.44,0.84,0.36,0.24,0.1,0.07,0.44,0.24,US,Catchprocessor,77950
2014,1652,557,0,4.13,5.17,71.41,5.98,8.89,0.89,2.03,0.89,0.44,0.09,0,0,0.09,0,US,Catchprocessor,103203
2015,1263,431,3.49,1.66,7.55,3.45,76.45,3.2,2.16,0.33,0.77,0.52,0,0.12,0.12,0,0.15,US,Catchprocessor,68484
2016,1995,671,0.4,52.87,2.37,5.57,2.23,31.31,1.56,2.06,0.73,0.2,0.44,0.2,0,0.04,0,US,Catchprocessor,108786
2017,1578,536,1.98,0.74,43.98,2.54,5.17,3.51,33.03,3.69,2.52,1.54,0.28,0.7,0.22,0,0.1,US,Catchprocessor,136960
2008,"1,580",324,1.21,8.59,38.53,3.48,14.88,0.72,2.73,3.33,22.75,2.03,0.48,0.73,0.25,0.08,0.19,US,Mothership,72440
2009,"1,187",316,2.03,0.69,30.42,23.69,3.94,10.17,0.87,3.04,2.07,19.81,1.9,0.27,0.63,0.27,0.19,US,Mothership,37550
2010,"1,305",443,0,41.59,1.35,36.69,12.81,1.32,1.89,0.38,0.21,0.95,2.27,0.39,0.04,0.12,0,US,Mothership,52022
2011,"1,153",481,4.12,15.25,72.04,2.68,3.56,1.6,0.2,0.11,0.1,0.03,0.11,0.11,0.03,0.03,0.02,US,Mothership,56394
2012,884,299,0.7,76.44,5.88,13.09,1.34,0.84,0.87,0.32,0.07,0,0.09,0.04,0.1,0.07,0.12,US,Mothership,38512
2013,"1,215",409,0,1.19,83.16,4.52,7.51,0.25,0.96,1.18,0.13,0.19,0.15,0.05,0.23,0.35,0.14,US,Mothership,52447
2014,"1,184",400,0,5.09,3.74,74.13,4.49,7.85,0.98,1.37,0.95,0.56,0.12,0.08,0,0.14,0.5,US,Mothership,62102
2015,601,203,1.82,0.65,10.41,4.78,71.41,4,4.13,1.07,0.63,0.83,0.29,0,0,0,0,US,Mothership,27661
2016,"1,495",502,0.53,59.25,1.45,5.1,2.44,26.82,1.54,1.92,0.38,0.32,0.09,0.15,0,0,0,US,Mothership,65036
2017,789,273,5.89,0.86,46.8,2.3,3.55,1.21,33.12,2.21,2.03,0.61,0.06,0.91,0.25,0.21,0,US,Mothership,66428
2008,NA,63,1.88,13.86,26.09,2.32,21.71,1.34,3.85,2.87,21.99,1.99,0.99,0.42,0.22,0.23,0.24,US,Shoreside,67861
2009,NA,66,0,0.28,44.84,28.34,2.22,8.98,0.51,1.81,1.68,8.5,1.21,0.59,0.58,0.08,0.38,US,Shoreside,49222
2010,NA,75,0.09,32.9,1.93,37.37,16.3,1.64,2.96,0.14,0.66,1.01,3.87,0.7,0.14,0,0.31,US,Shoreside,64736
2011,NA,81,0.05,2.7,86.98,3.42,3,1.68,0.41,0.54,0.36,0.16,0,0.56,0.09,0,0.05,US,Shoreside,102146
2012,NA,76,0,22.91,18.92,51.1,1.52,2.39,1.18,0.66,0.29,0.07,0,0.33,0.23,0.2,0.22,US,Shoreside,65919
2013,NA,96,0,0.37,79.28,5.93,9.78,0.67,1.38,1.02,0.36,0.37,0.13,0.04,0.09,0.31,0.27,US,Shoreside,102143
2014,NA,68,0,2.18,3,63.95,8.41,15.2,1.32,2.44,1.7,0.64,0.23,0,0.2,0.2,0.51,US,Shoreside,98640
2015,NA,84,5.98,1.33,7.43,4.92,67.34,4.06,5.08,0.78,1.06,1.28,0.24,0.17,0,0,0.32,US,Shoreside,58011
2016,NA,62,0.13,63.79,1.39,3.61,1.67,22.84,1.84,2.7,0.87,0.35,0.3,0.19,0.17,0.05,0.09,US,Shoreside,88023
2017,NA,110,3.28,0.51,35.46,2.54,3.65,2.44,44.25,2.57,2.1,1.42,0.64,0.52,0.29,0.12,0.22,US,Shoreside,150843
2008,NA,20,0,3.66,3.73,1.89,9.02,0.93,3.52,3.16,54.29,9.74,3.66,1.5,2.12,0.77,2,Can,ShoresideCan,53444
2009,NA,7,0,0.43,8.94,18.11,5.72,16.43,3.32,3.1,5.38,28.73,5.27,2.51,0.66,0.62,0.79,Can,ShoresideCan,44136
2010,NA,8,0,0.07,0.93,10.17,37.58,7.52,8.66,1.6,0.91,1.76,25.57,3.07,1.9,0.15,0.14,Can,ShoresideCan,31418
2011,NA,4,0,0,63.89,2.88,12.59,8.98,2.82,3.1,0.23,1.91,0.24,2.63,0.25,0.47,0.01,Can,ShoresideCan,26827
2012,NA,43,0,0.84,11.28,54.04,5.31,13.06,5.41,2.21,1.56,0.81,1.08,0.21,2.52,0.29,1.38,Can,ShoresideCan,31718
2013,NA,10,0,0,1.36,4.69,4.33,2.25,26.17,7.99,4.57,14.15,0.51,2.9,4.36,24.83,1.87,Can,ShoresideCan,33665
2014,NA,26,0,0,0.19,14.9,12.6,23.94,8.96,14.68,8.9,1.88,4.4,0.56,0.46,0.9,7.62,Can,ShoresideCan,13326
2015,NA,6,2.79,0,1.12,2.64,63.49,8.13,11.52,1.31,5.6,1.85,0,0.53,0,0.34,0.68,Can,ShoresideCan,16775
2016,NA,70,0,4.7,0.19,2.66,2.43,70.55,9.3,8.59,0.65,0.41,0.1,0.15,0.12,0,0.15,Can,ShoresideCan,35012
2017,NA,62,7.69,0.38,7.46,1.7,3.15,7.91,46.37,14.79,6.21,1.37,1.02,1.21,0.16,0.09,0.48,Can,ShoresideCan,43427
2008,NA,31,0,18.23,17.89,1.92,7.64,0.53,2.65,2.07,36.58,5.57,2.26,1.7,1.62,0.68,0.66,Can,Freezer,13214
2009,NA,19,0,0.19,22.55,13.89,4.22,11.81,1.56,2.56,2.08,30.23,6.52,1.67,1.89,0.47,0.35,Can,Freezer,13223
2010,NA,17,0,4.31,4.28,31.23,25.64,6.09,4.07,2.02,2.57,3.16,11.26,3.4,0.62,0.66,0.69,Can,Freezer,13573
2011,NA,7,0,0,5.34,1.36,23.81,28.49,10.97,4.06,1.02,1.77,2.26,15.45,1.89,1.19,2.38,Can,Freezer,14593
2012,NA,101,0,0.05,2.91,25.29,6.27,29.04,13.76,3.48,3.83,1.04,1.31,1.79,8.21,1.94,1.08,Can,Freezer,14909
2013,NA,105,0,0,2.78,5.88,18.17,5.88,18.86,13.09,5.47,5.56,2.06,2.72,4.15,11.62,3.76,Can,Freezer,18584
2014,NA,79,0,0,0.98,13.3,10.07,24.66,5.37,14.15,7.62,4.75,3.16,1.43,1.93,2.07,10.5,Can,Freezer,21787
2015,NA,74,0,0.28,2.59,2.67,58.81,12.33,11.6,3.19,3.83,2.23,0.81,0.64,0.15,0.25,0.62,Can,Freezer,22903
2016,NA,111,0.17,5.14,2.06,4.4,6.98,56.82,9.2,8.08,2.18,2.38,1.3,0.56,0.15,0.12,0.46,Can,Freezer,34729
2017,NA,54,0,0,7.76,2.69,4.63,5.4,47.38,14.27,9.37,2.93,3.06,1.34,0.22,0.26,0.68,Can,Freezer,37679
