"year","Country","SSB","am","Biomass"
1995,"CAN",71398752.0152861,9.55975164218193,64739504.9989381
1995,"USA",347051048.184613,7.95235573451292,335429935.74605
1998,"CAN",248707265.171393,6.99335002831927,238714720.227477
1998,"USA",138636184.887454,5.17202678753052,142570535.914536
2001,"CAN",1445946.01856638,3.78949554972935,2451890.79129153
2001,"USA",119828074.928212,3.95193995039064,194451523.745653
2003,"CAN",26723350.0203349,6.41505293156395,30046712.6079182
2003,"USA",406817099.911438,5.15196948211686,456498079.881227
2005,"CAN",165261207.114269,6.47101208594964,172953064.825372
2005,"USA",191159623.534243,5.7530054547684,206961724.105734
2007,"CAN",89402316.9787737,8.12830329682255,85102340.2116548
2007,"USA",182603733.299756,6.2824241705782,189672197.126899
2009,"CAN",115482245.051573,8.67036291748972,118699692.706894
2009,"USA",323036977.28242,4.59679149674371,339439988.800602
2011,"CAN",20222735.7678246,7.75938561196862,22127034.3923454
2011,"USA",101752000.086748,3.15663733036882,118697107.651964
2012,"CAN",37527016.4244756,7.60206867458422,40476798.8781195
2012,"USA",158790605.488985,3.14572805437786,206018969.648369
2013,"CAN",25634076.2362633,7.75389548346287,28667718.5680939
2013,"USA",344144709.506697,3.61587982732523,389426601.954503
2015,"CAN",87702173.9236852,5.64333148392721,85438902.1487121
2015,"USA",482366826.516826,5.31941417846604,480806689.462443
2017,"CAN",86021137.4796544,6.96682938746785,77844356.0610698
2017,"USA",260988140.226131,4.9690165842392,265320224.044623
