"year","Country","Bio"
1995,"CAN",222355636.464999
1995,"USA",1095679204.71343
1998,"CAN",913978026.580974
1998,"USA",655169660.644515
2001,"CAN",39071898.6768539
2001,"USA",822672537.563687
2003,"CAN",369008107.862927
2003,"USA",1768520061.28375
2005,"CAN",634191252.446876
2005,"USA",741908314.917668
2007,"CAN",258110981.001535
2007,"USA",684610573.145167
2009,"CAN",293130078.349767
2009,"USA",1209143093.68718
2011,"CAN",70906342.2176893
2011,"USA",603668450.111347
2012,"CAN",130011017.38276
2012,"USA",1149410062.56058
2013,"CAN",108781756.727397
2013,"USA",1820453329.44087
2015,"CAN",315210837.657505
2015,"USA",1840642291.09342
2017,"CAN",347085235.677994
2017,"USA",1070726218.79886
