Year,Nsamples,Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1985,1,Can,0,0.005882353,0.029411765,0.282352941,0.176470588,0.041176471,0.123529412,0.217647059,0.058823529,0.011764706,0,0.029411765,0,0,0.023529412
1988,3,Can,0,0,0.002718229,0.141730884,0.007735155,0.013098668,0.02315059,0.663267088,0.025011479,0.01831629,0.082295185,0.005564208,0.002225683,0.002645284,0.012241257
1989,3,Can,0,0,0,0.001587958,0.504417266,0,0.001753022,0,0.454811536,0,0.01352854,0.02231372,0,0,0.001587958
1990,5,Can,0,0,0.101788438,0.032961906,0,0.469004138,0.00915238,1.58E-05,0,0.336637321,0.006424837,0,0.037590341,0,0.006424837
1991,18,Can,0,0,0.000747676,0.04342956,0.021390638,0.003856649,0.530306951,0.003415657,0,0.000441285,0.380215944,0.001569713,0,0.013528991,0.001096936
1992,33,Can,0,0,0.005528682,0.074087863,0.152018682,0.031964756,0.003306238,0.481964471,0.002002916,0,0.000982495,0.237494731,0.000412242,0.000821685,0.00941524
1993,28,Can,0,0.000712396,0.010245162,0.028253856,0.121904624,0.165414435,0.021712898,0.002647741,0.41016029,0.002296587,0,0.00325626,0.216151878,0.000658488,0.016585386
1994,42,Can,0,0,0.003543777,0.01555995,0.02195175,0.095070843,0.146957771,0.042502219,0.01465122,0.471373872,0.008944939,0.001478872,0,0.166871568,0.01109322
1995,35,Can,0.034877715,0.003007914,0.006350581,0.064572756,0.052396268,0.030838342,0.117945957,0.173620803,0.04329735,0.007149632,0.353294453,0.0106924,0.000542454,0,0.101413374
1996,28,Can,0,0.09979206,0.024781252,0.010447876,0.094368716,0.124091669,0.036052704,0.106647342,0.136794407,0.022059594,0.009647328,0.259804046,0.000444891,0,0.075068115
1997,28,Can,0,0.002728941,0.134356437,0.136258639,0.040473095,0.152456155,0.138356873,0.050596684,0.067024883,0.100248885,0.042976494,0.001467196,0.084129101,0.025611148,0.02331547
1998,30,Can,0.000614561,0.001212917,0.090000813,0.245232717,0.259004713,0.019147138,0.100676248,0.104162452,0.013805457,0.047275242,0.051400415,0.007632247,0.001963911,0.049135403,0.008735765
1999,40,Can,0.002445736,0.096505818,0.04852535,0.121951286,0.276859686,0.195224073,0.023554889,0.059327338,0.057085153,0.018947434,0.026439329,0.026877872,0.009320234,0.004224483,0.03271132
2000,26,Can,0,0.001810092,0.20639383,0.060931595,0.065648224,0.272015136,0.129688099,0.022671113,0.066161074,0.034726732,0.024275732,0.038205723,0.0356284,0.005885842,0.035958407
2001,29,Can,0,0.00027159,0.025394879,0.200827742,0.033502728,0.046092927,0.318012422,0.11272156,0.04112597,0.066135853,0.049080959,0.007274903,0.050155902,0.019160096,0.030242471
2002,36,Can,0,0,0.013227865,0.080818794,0.261372085,0.088252266,0.102159128,0.228224321,0.104853465,0.019891221,0.023001242,0.03100822,0.006101155,0.013637787,0.027452451
2003,20,Can,0,0,0.006998911,0.359064743,0.178609418,0.073597894,0.115934871,0.069845957,0.080247479,0.059038003,0.021638965,0.012067726,0.013826891,0.003340253,0.00578889
2004,48,Can,0,0.000634352,0.022118546,0.023353665,0.618300013,0.133977464,0.037394481,0.061122579,0.039140726,0.024451372,0.022223645,0.006216697,0.004454872,0.003775972,0.002835615
2005,56,Can,0,0,0.002585668,0.026300223,0.036387137,0.651229803,0.118654774,0.028747378,0.054323477,0.037716058,0.021519399,0.014737923,0.003785092,0.000152736,0.003860333
2006,88,Can,0,0.00069764,0.007685868,0.00669007,0.046674797,0.026016876,0.667025685,0.093791744,0.038076875,0.049292069,0.025250401,0.026806704,0.005846423,0.003144822,0.003000026
2007,37,Can,0.000622575,0.003951935,0.005141939,0.081355285,0.020826253,0.057034542,0.041953464,0.517205449,0.10104799,0.021071129,0.050742876,0.055063704,0.01429623,0.005831634,0.023854995
2008,51,Can,0,0.068975156,0.069076506,0.019004964,0.087176986,0.008397016,0.03325545,0.029178634,0.503328077,0.088028224,0.033490958,0.01551309,0.02011784,0.007529356,0.016927743
2009,26,Can,0,0.003730273,0.121571749,0.170793366,0.05356525,0.153170517,0.028953583,0.029723207,0.045837999,0.291369386,0.055817142,0.023138087,0.009640902,0.005841099,0.006847441
2010,25,Can,0,0.01459475,0.020292625,0.171236067,0.335992732,0.070423452,0.071419594,0.017385902,0.014693898,0.022367027,0.20847749,0.031892023,0.014767506,0.003215608,0.003241326
2011,13,Can,0,0,0.590240287,0.0196453,0.140590793,0.105824834,0.03704841,0.024952509,0.003253396,0.013956047,0.005681797,0.044276673,0.005016527,0.004887721,0.004625707
2012,144,Can,0,0.006280834,0.090313763,0.462508462,0.055593469,0.173713649,0.076659432,0.025530106,0.021798788,0.008776976,0.01145401,0.006367424,0.040581941,0.007410765,0.013010381
2013,115,Can,0,0,0.019023205,0.051367939,0.096133745,0.036499099,0.233683023,0.099512226,0.049202585,0.108601445,0.011037899,0.028329994,0.042791648,0.197789887,0.026027306
2014,105,Can,0,0,0.006689249,0.13892155,0.110368513,0.243458978,0.067595276,0.143664188,0.081158703,0.03652307,0.036519905,0.011023595,0.013626291,0.016216568,0.094234114
2015,80,Can,0.012024538,0.001600695,0.019535942,0.026575949,0.60792752,0.10519726,0.115735354,0.023865723,0.046007395,0.020698278,0.004602741,0.005950957,0.000866229,0.002911268,0.006500151
2016,191,Can,0.000811306,0.049223138,0.010967712,0.035218918,0.047115559,0.638041502,0.09120853,0.084118116,0.013874803,0.013955268,0.006843788,0.003611564,0.001423196,0.00069013,0.002896471
2017,151,Can,0.038167149,0.004411304,0.075811294,0.020350386,0.041114454,0.062983742,0.48913564,0.128399965,0.082149624,0.017952559,0.018100075,0.012728835,0.001737761,0.001683533,0.00527368
2018,130,Can,0.003228115,0.049349747,0.013670429,0.203923864,0.017801526,0.042586465,0.055865079,0.397527564,0.111586754,0.048107038,0.025257326,0.010875032,0.00829859,0.009404407,0.002518064
1975,13,USA,0.046077954,0.338460662,0.074317926,0.012484988,0.253973746,0.055455945,0.08030992,0.105372895,0.00952999,0.006026994,0.008714991,0.004514995,0,0.004758995,0
