ParName   Value   Gradient
MGparm[1]     0.208622 -1.09465e-006
SR_parm[1]      14.2858 -2.53621e-006
SR_parm[2]     0.854313 -2.77126e-008
recdev_early(1946)    -0.570376 2.84883e-007
recdev_early(1947)    -0.192979 2.09466e-008
recdev_early(1948)    -0.229273 9.36205e-008
recdev_early(1949)    -0.270933 3.90238e-008
recdev_early(1950)    -0.318332 2.11311e-008
recdev_early(1951)    -0.371771 5.94784e-008
recdev_early(1952)    -0.430449 1.49863e-007
recdev_early(1953)    -0.497257 8.87931e-008
recdev_early(1954)    -0.567938 8.25842e-007
recdev_early(1955)    -0.639977 2.21949e-007
recdev_early(1956)    -0.715486  5.5955e-007
recdev_early(1957)    -0.787922 -2.18103e-007
recdev_early(1958)    -0.856029 -1.48113e-007
recdev_early(1959)     -0.91187 1.98714e-007
recdev_early(1960)    -0.935101 5.43517e-007
recdev_early(1961)      -0.8964 2.81706e-007
recdev_early(1962)    -0.768141  8.2754e-007
recdev_early(1963)    -0.589246 4.29045e-007
recdev_early(1964)     -0.33022 1.31003e-006
recdev_early(1965)    0.0460519  1.7306e-006
recdev_early(1966)    0.0744396 1.73412e-006
recdev_early(1967)      1.00632 3.14029e-006
recdev_early(1968)     0.761387 2.17731e-006
recdev_early(1969)    -0.273116 1.96513e-007
recdev2(1970)      2.01921 2.43767e-006
recdev2(1971)  -0.00521255 4.41467e-007
recdev2(1972)    -0.544094 -5.90561e-007
recdev2(1973)      1.73535 -3.01729e-006
recdev2(1974)    -0.866866 -8.18955e-007
recdev2(1975)     0.563223 -1.75331e-006
recdev2(1976)     -1.42164 -3.53912e-007
recdev2(1977)      1.89364 -1.35044e-006
recdev2(1978)     -1.85456 -4.41478e-007
recdev2(1979)     0.341545 -7.86986e-008
recdev2(1980)      2.94419 2.64702e-006
recdev2(1981)     -1.24454 -2.65724e-007
recdev2(1982)     -1.19054 -5.04409e-007
recdev2(1983)    -0.590376 3.93586e-007
recdev2(1984)      2.72363 1.05396e-006
recdev2(1985)     -1.89956 -2.33853e-007
recdev2(1986)     -1.54443 -2.38616e-007
recdev2(1987)      1.97625 -1.01082e-006
recdev2(1988)     0.914755 -1.10544e-008
recdev2(1989)     -1.76349 -5.3082e-008
recdev2(1990)      1.59195 -1.75437e-006
recdev2(1991)     0.423262 -9.11958e-007
recdev2(1992)     -1.70319 -2.13977e-007
recdev2(1993)      1.34697 -2.83572e-006
recdev2(1994)      1.39987 -3.27434e-006
recdev2(1995)     0.474664 -1.86964e-006
recdev2(1996)     0.831347 -1.96693e-006
recdev2(1997)     0.237044 -1.36514e-006
recdev2(1998)     0.880527 -2.86746e-006
recdev2(1999)      2.78823 -1.62473e-005
recdev2(2000)    -0.735703 -1.06468e-006
recdev2(2001)     0.394887 -2.12109e-006
recdev2(2002)     -3.17955 -5.90739e-008
recdev2(2003)     0.707703 1.93512e-006
recdev2(2004)     -2.16234 6.10344e-007
recdev2(2005)      1.18588 5.20094e-006
recdev2(2006)      0.92124 3.62737e-006
recdev2(2007)     -3.37466 2.92818e-007
recdev2(2008)      1.90336 6.90271e-006
recdev2(2009)     0.580866 1.44617e-006
recdev2(2010)       2.9113 1.10843e-005
recdev2(2011)    -0.553747 9.27163e-007
recdev2(2012)     0.454008 9.42639e-007
recdev2(2013)     -0.84475 1.74904e-007
recdev2(2014)      2.33119 -5.92284e-006
recdev2(2015)     -2.37661 -1.70319e-007
recdev2(2016)      1.62006  -4.883e-006
recdev2(2017)     0.894015 -2.97425e-006
recdev2(2018)     -0.89445 -1.54711e-007
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Q_parm[2]     0.248886 1.40864e-007
selparm[3]      2.52377 1.93458e-006
selparm[4]     0.895053 1.07998e-005
selparm[5]     0.393889 2.17443e-005
selparm[6]     0.216134 1.63797e-005
selparm[7]     0.476882 1.59787e-005
selparm[25]     0.613422 -1.31438e-006
selparm[26]    -0.226139 -1.23009e-006
selparm[27]     0.257826 -2.13239e-006
selparm[28]     0.402376 -2.72678e-006
selparm[43]    -0.164022 -1.63687e-005
selparm[44]      2.24628 9.79295e-009
parm_dev[1](1991)     0.597195 -7.00375e-008
parm_dev[1](1992)   -0.0232103 -1.24417e-006
parm_dev[1](1993)   -0.0165741 -1.10181e-006
parm_dev[1](1994)    0.0661005 -5.00448e-007
parm_dev[1](1995)    -0.297411  3.4362e-007
parm_dev[1](1996)     0.485592 -1.42686e-007
parm_dev[1](1997)    0.0552744 1.14418e-007
parm_dev[1](1998)     0.210375 1.18381e-007
parm_dev[1](1999)      1.11192 1.86676e-010
parm_dev[1](2000)     0.606241 -1.59851e-007
parm_dev[1](2001)    0.0303989 2.81806e-007
parm_dev[1](2002)    0.0182962 3.26352e-007
parm_dev[1](2003)  -0.00341504 2.73848e-007
parm_dev[1](2004)     0.266845 3.44191e-007
parm_dev[1](2005)  -0.00472555  1.6341e-007
parm_dev[1](2006)      1.02168 3.02688e-007
parm_dev[1](2007)     0.618732 -2.03513e-007
parm_dev[1](2008)   -0.0238553 -2.58052e-007
parm_dev[1](2009)     0.454942 -5.89621e-007
parm_dev[1](2010)      1.05219 -2.74502e-007
