"year","Nsamples","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Country","am"
1985,1,0,0.00588235299411765,0.0294117649705882,0.282352940717647,0.176470587823529,0.0411764709588235,0.123529411876471,0.217647058782353,0.0588235289411765,0.0117647059882353,0,0.0294117649705882,0,0,0.0235294119764706,"CAN",6.31764706168235
1988,3,0,0,0.002718229,0.141730884,0.007735155,0.013098668,0.02315059,0.663267088,0.025011479,0.01831629,0.082295185,0.005564208,0.002225683,0.002645284,0.012241257,"CAN",7.790407292
1989,3,0,0,0,0.001587958,0.504417266,0,0.001753022,0,0.454811536,0,0.01352854,0.02231372,0,0,0.001587958,"CAN",7.07441109
1990,5,0,0,0.101788438460807,0.0329619061207048,0,0.469004137946141,0.00915238031118093,1.58000005372e-05,0,0.336637321445669,0.00642483721844446,0,0.0375903412780716,0,0.00642483721844446,"CAN",7.33752424847582
1991,18,0,0,0.000747676000747676,0.0434295600434296,0.0213906380213906,0.00385664900385665,0.530306950530307,0.00341565700341566,0,0.000441285000441285,0.380215944380216,0.00156971300156971,0,0.013528991013529,0.00109693600109694,"CAN",8.45701297045701
1992,33,0,0,0.00552868199447132,0.0740878629259122,0.152018681847981,0.0319647559680352,0.00330623799669376,0.481964470518036,0.00200291599799708,0,0.000982494999017505,0.237494730762505,0.000412241999587758,0.000821684999178315,0.00941523999058476,"CAN",8.18054066681946
1993,28,0,0.000712395792181465,0.0102451620338367,0.0282538562761386,0.121904623679247,0.165414435350493,0.0217128981096677,0.00264774065196022,0.410160289628837,0.0022965865598222,0,0.00325625979616025,0.21615187828797,0.000658488305842412,0.0165853855278431,"CAN",8.74181527202771
1994,42,0,0,0.0035437765472303,0.0155599499282753,0.0219517503903685,0.0950708428484692,0.146957771023879,0.0425022191381526,0.0146512201628514,0.471373871662184,0.00894493865499429,0.00147887217399508,0,0.166871567634623,0.0110932198349771,"CAN",9.58611782245959
1995,35,0.0348777150348777,0.00300791400300791,0.00635058100635058,0.0645727560645727,0.0523962680523963,0.0308383420308383,0.117945957117946,0.173620803173621,0.0432973500432973,0.00714963200714963,0.353294453353294,0.0106924000106924,0.000542454000542454,0,0.101413374101413,"CAN",8.98380859898381
1996,28,0,0.09979206,0.024781252,0.010447876,0.094368716,0.124091669,0.036052704,0.106647342,0.136794407,0.022059594,0.009647328,0.259804046,0.000444891,0,0.075068115,"CAN",8.444980709
1997,28,0,0.00272894084824355,0.134356436689009,0.136258639471012,0.0404730949798008,0.152456154616795,0.138356872535701,0.0505966840100872,0.0670248834267753,0.100248885100132,0.0429764935153524,0.00146719591322927,0.0841291012812238,0.0256111478750001,0.0233154697376385,"CAN",7.34196274651835
1998,30,0.000614560897190121,0.00121291650909345,0.0900008133816324,0.245232717233617,0.259004713324852,0.019147138338212,0.100676247569884,0.104162452447371,0.0138054573784077,0.0472752421341146,0.0514004150936455,0.00763224692448621,0.00196391087042908,0.0491354028919645,0.00873576500509929,"CAN",6.30036947596676
1999,40,0.00244573557233078,0.0965058176525281,0.0485253502184394,0.121951285851505,0.276859686093272,0.195224073146552,0.0235548893067805,0.0593273384906687,0.0570851527339211,0.0189474337062217,0.0264393286817428,0.0268778719713591,0.00932023382472596,0.00422448264708412,0.0327113201028691,"CAN",6.01156775650385
2000,26,0,0.00181009226373445,0.206393830314254,0.0609315948054064,0.0656482244097441,0.272015136091968,0.129688099247944,0.022671112718024,0.0661610741343764,0.0347267324082751,0.0242757316221116,0.0382057231223777,0.0356284004947294,0.0058858418327209,0.0359584065343339,"CAN",6.66921139648067
2001,29,0,0.000271589940841402,0.0253948785262272,0.200827742424299,0.033502727877094,0.0460929265825752,0.318012421525702,0.112721560107695,0.0411259700389766,0.0661358527637072,0.0490809590948477,0.00727490298032814,0.0501559016682237,0.0191600955590522,0.0302424709104308,"CAN",7.48455618254518
2002,36,0,0,0.013227865,0.080818794,0.261372085,0.088252266,0.102159128,0.228224321,0.104853465,0.019891221,0.023001242,0.03100822,0.006101155,0.013637787,0.027452451,"CAN",7.189977751
2003,20,0,0,0.00699891099300109,0.359064742640935,0.178609417821391,0.0735978939264021,0.115934870884065,0.069845956930154,0.0802474789197525,0.059038002940962,0.021638964978361,0.0120677259879323,0.0138268909861731,0.00334025299665975,0.00578888999421111,"CAN",6.170997048829
2004,48,0,0.000634352272758366,0.0221185456316462,0.0233536653173538,0.618300012991847,0.133977463558699,0.0373944808421698,0.0611225793438006,0.0391407261883986,0.0244513719864867,0.0222236447489258,0.00621669742438501,0.00445487234914241,0.00377597233332241,0.00283561501106447,"CAN",5.87629774492948
2005,56,0,0,0.00258566761353253,0.0263002228345567,0.0363871371568356,0.651229802978842,0.118654773683507,0.0287473784438038,0.0543234767554598,0.0377160579299375,0.0215193990782621,0.0147379228586632,0.00378509174983532,0.000152736023436948,0.00386033289332779,"CAN",6.65172466591028
2006,88,0,0.000697639925513486,0.00768586767868105,0.00669006956043598,0.0466747972779026,0.0260168760050026,0.667025684875261,0.0937917444680047,0.0380768747609141,0.0492920694134348,0.0252504014066806,0.0268067035014346,0.0058464232816747,0.00314482194604805,0.00300002589901129,"CAN",7.4602809762841
2007,37,0.000622575388306176,0.00395193514119477,0.00514193918074918,0.0813552847250331,0.0208262531886261,0.0570345418956372,0.0419534637796297,0.517205449119844,0.101047989785501,0.0210711285132454,0.0507428760313267,0.0550637036695266,0.0142962304985934,0.00583163432638431,0.0238549947564026,"CAN",8.1914278308242
