"1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0463847,0.00182266,0.000985222,0.00563542,0.000985222,0.00244335,0.193033,0.000985222,0.000985222,0.000985222,0.0100983,0.000985222,0.000985222,0.000985222,0.000985222,0.000985222,0.000985222,0.00552705,0.000985222,0.000985222,0.00708387,0.000985222,0.000985222,0.00113301,0.00159605,0.0107981,0.000985222,0.000985222,0.000985222,0.000985222,0.00116256,0.00419701,0.00862069,0.00852217,0.00732032,0.00127094,0.0277143,0.00276844,0.00128079,0.000985222,0.0363638,0.00386204,0.0370936,0.0544039
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.334447,0.0141576,0.0842151,0.0119211,0.0649465,0.00634483,0.0406893,0.316752,0.000985222,0.000985222,0.0020788,0.152156,0.000985222,0.00741878,0.0563153,0.0521576,0.035113,0.0427385,0.0113399,0.00134976,0.0136062,0.181105,0.00824623,0.0480694,0.10191,0.0425423,0.1718,0.00131034,0.00201969,0.00120197,0.00659108,0.02865,0.114502,0.0984335,0.00617744,0.256335,0.0871034,0.404425,0.00635468,0.0334874,0.0121771,0.495493,0.00821675,0.231951
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0742076,0.143586,0.0372702,0.0651324,0.101883,0.297409,0.0148077,0.0356752,0.337373,0.0147092,0.00441372,0.0540389,0.292443,0.00163547,0.024936,0.203547,0.201693,0.0433887,0.229951,0.0288873,0.00559615,0.161007,0.291367,0.201332,0.201614,0.10872,0.161051,0.499916,0.0147191,0.0536251,0.0055566,0.103881,0.0384926,0.304778,0.293395,0.0345714,0.70065,0.114845,0.693714,0.0372509,0.0687967,0.0176649,0.380798,0.0169951
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0132809,0.0674089,0.27165,0.0631521,0.0934196,0.0192611,0.264293,0.00577345,0.0403637,0.610871,0.0723237,0.00617729,0.0295961,0.318979,0.00382266,0.0195567,0.194402,0.129585,0.0331034,0.211728,0.0631342,0.0158228,0.246815,0.200928,0.178146,0.141726,0.141377,0.148117,0.66887,0.0613393,0.065625,0.0174678,0.155635,0.0247094,0.268892,0.349852,0.0270148,0.325964,0.0591527,0.635659,0.0398613,0.0450735,0.024197,0.284384
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.251204,0.0413498,0.0363934,0.261239,0.0573503,0.045202,0.0394183,0.270416,0.0189652,0.0366992,0.658657,0.00848268,0.00231527,0.0106405,0.495626,0.00681773,0.0258323,0.184176,0.128867,0.0134485,0.28638,0.0772618,0.015458,0.263017,0.198638,0.127883,0.155514,0.0964227,0.1159,0.673816,0.0539995,0.0853883,0.0166404,0.143596,0.0350352,0.209419,0.0625123,0.0255069,0.104138,0.0697432,0.690804,0.0253889,0.041665,0.0174975
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0556262,0.243172,0.0906977,0.0609945,0.175036,0.0814286,0.0556448,0.0160199,0.232094,0.038906,0.0838112,0.430873,0.0109655,0.0152711,0.0133695,0.309833,0.0087684,0.0233594,0.15534,0.125402,0.0123352,0.179696,0.078216,0.0292417,0.131013,0.208505,0.0853087,0.0573295,0.0340095,0.0809352,0.678052,0.0490537,0.0688374,0.0111133,0.109431,0.0230443,0.0436059,0.0510729,0.0120493,0.120048,0.0496542,0.324834,0.0315665,0.0296256
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0801092,0.097202,0.224449,0.0883538,0.102031,0.111596,0.034246,0.0372417,0.0514867,0.166284,0.0562058,0.0689353,0.525714,0.00752716,0.00386207,0.00602956,0.279406,0.011261,0.0157635,0.185097,0.0803267,0.0108572,0.124018,0.0542468,0.0274677,0.130198,0.120205,0.0447089,0.0503345,0.0224431,0.079349,0.582625,0.038532,0.0367488,0.0142466,0.0292808,0.0118325,0.0257828,0.0346108,0.0166698,0.0511419,0.0283248,0.365281,0.0317635
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.104799,0.0886601,0.0758507,0.212855,0.17212,0.0503645,0.145565,0.0393501,0.0566196,0.0290933,0.0709937,0.0813095,0.00496552,0.454645,0.00181281,0.00295567,0.0125812,0.335228,0.00896552,0.0164634,0.200684,0.0493502,0.0186993,0.09273,0.039704,0.0654982,0.059989,0.0658122,0.0325416,0.041704,0.0242264,0.052965,0.433961,0.0321872,0.0245916,0.0050936,0.00844335,0.0121476,0.0212709,0.0317238,0.0104333,0.0328371,0.0431626,0.239123
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0103745,0.120187,0.0654568,0.0972995,0.12672,0.0890739,0.0381179,0.116888,0.0532009,0.0158521,0.021103,0.0823637,0.0133005,0.0142957,0.347704,0.00139901,0.00241378,0.0085418,0.271153,0.00663065,0.0165225,0.109173,0.0401769,0.0100198,0.0404725,0.0467788,0.0185021,0.0359208,0.032049,0.0256746,0.0296352,0.0178915,0.0510345,0.27468,0.0240891,0.00662069,0.00390148,0.0074777,0.00991133,0.0190639,0.0162756,0.00847283,0.0311921,0.0442956
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00692617,0.0544926,0.0405509,0.0473986,0.0421679,0.110108,0.0324627,0.0331826,0.0934267,0.013192,0.00620679,0.0225515,0.0708473,0.00925131,0.0187389,0.315281,0.00276846,0.00175369,0.00762562,0.295632,0.00317246,0.00666016,0.0667087,0.0163647,0.010729,0.0257047,0.0229749,0.00956642,0.0218619,0.0134974,0.0227387,0.0243939,0.0178621,0.0303153,0.165255,0.0104138,0.00442365,0.00327089,0.0144433,0.0090147,0.0117141,0.00533986,0.0135862,0.0207685
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00956659,0.0433793,0.0359599,0.0470931,0.0293205,0.0941872,0.101329,0.0365619,0.0395066,0.033911,0.00742844,0.0287386,0.000985222,0.104267,0.00487685,0.00390148,0.185102,0.00433494,0.00186207,0.00356655,0.221916,0.00440398,0.0136353,0.0394191,0.0161772,0.0213795,0.0188174,0.00931026,0.00964523,0.0115565,0.0125812,0.0121575,0.0226897,0.0120099,0.0263256,0.0562759,0.00211823,0.00422654,0.00358621,0.0055566,0.00297533,0.00462065,0.00712315,0.0106798
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00542862,0.041133,0.0237237,0.0240293,0.010473,0.0268768,0.0237732,0.0763062,0.0318023,0.0100787,0.00340882,0.019054,0.00831527,0.0087587,0.023803,0.00164532,0.00515267,0.178816,0.00216749,0.0037636,0.00527102,0.155834,0.00311328,0.00446309,0.0220688,0.0237047,0.00786193,0.011192,0.00530045,0.00439405,0.0117339,0.0109851,0.0173498,0.00812808,0.0100691,0.00963547,0.0139606,0.00440387,0.00426601,0.00213792,0.00301474,0.00330047,0.00812808,0.00712315
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000985222,0.0115074,0.00662058,0.00612803,0.0171923,0.0382759,0.00595069,0.00335963,0.0232409,0.00675856,0.000985222,0.0318618,0.0193005,0.00151725,0.00181281,0.0641478,0.000985222,0.00505415,0.119251,0.00120197,0.00542866,0.00107389,0.0608861,0.00189163,0.00484725,0.0137144,0.0149849,0.00336943,0.00626596,0.00362559,0.00344825,0.00518222,0.00573399,0.00568473,0.00712328,0.00364532,0.0026601,0.00956633,0.0062069,0.00286698,0.00158619,0.00160591,0.00306404,0.00514286
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00567492,0.0241872,0.00401964,0.00446302,0.000985222,0.0159212,0.00259112,0.00396062,0.012118,0.0151624,0.000985222,0.00548764,0.0182956,0.00162562,0.000985222,0.000985222,0.036512,0.00134975,0.00151724,0.0959034,0.00134976,0.00204927,0.00820682,0.0299707,0.00427583,0.00807889,0.00773386,0.00566498,0.00222659,0.00254186,0.00187191,0.00232511,0.00282759,0.00402956,0.00384242,0.002,0.00197044,0.0037832,0.023468,0.00371426,0.00151723,0.00151724,0.00191133,0.0044532
