"year","Country","am"
2008,"CAN",8.00758825047256
2008,"USA",5.20627233516837
2009,"CAN",7.20853054446556
2009,"USA",4.8937427466948
2010,"CAN",6.86636025649574
2010,"USA",4.00928168636943
2011,"CAN",5.37324626750362
2011,"USA",3.24700025367261
2012,"CAN",5.58763761554464
2012,"USA",3.26840898838411
2013,"CAN",9.13326639935693
2013,"USA",3.54934725079556
2014,"CAN",7.65477375615869
2014,"USA",4.44560926329349
2015,"CAN",5.74433328544785
2015,"USA",4.83565892602299
2016,"CAN",6.10284742404038
2016,"USA",3.61482705951994
2017,"CAN",6.80216243681109
2017,"USA",5.14534516036146
2018,"CAN",9.6778
2018,"USA",4.155466667

