"1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000985222,-1,-1,0.000985222,-1,-1,0.000985222,-1,0.000985222,-1,0.000985222,-1,0.000985222,-1,0.000985222,-1,0.000985222,0.000985222,0.000985222,-1,0.000985222,-1,0.000985222,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.202718,-1,-1,0.0682759,-1,-1,0.499655,-1,0.228177,-1,0.188848,-1,0.279732,-1,0.00640502,-1,0.273103,0.613005,0.0223667,-1,0.0743989,-1,0.00581233,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.033097,-1,-1,0.0800985,-1,-1,0.108856,-1,0.0170443,-1,0.0131022,-1,0.0222681,-1,0.290009,-1,0.555862,0.0973399,0.73968,-1,0.0915452,-1,0.520441,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0114265,-1,-1,0.168768,-1,-1,0.149936,-1,0.428571,-1,0.0512265,-1,0.115676,-1,0.397222,-1,0.0375369,0.165517,0.0564587,-1,0.0441466,-1,0.0285687,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19139,-1,-1,0.170936,-1,-1,0.0784159,-1,0.129754,-1,0.0480741,-1,0.0145826,-1,0.0235513,-1,0.0269951,0.0232512,0.086511,-1,0.582185,-1,0.0374348,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.011131,-1,-1,0.0184236,-1,-1,0.0368437,-1,0.0276847,-1,0.500147,-1,0.0503498,-1,0.0819866,-1,0.0299507,0.0297537,0.0103458,-1,0.0490737,-1,0.0335928,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0406817,-1,-1,0.113005,-1,-1,0.038814,-1,0.0516256,-1,0.0698453,-1,0.0330081,-1,0.013303,-1,0.00788177,0.0200985,0.0226623,-1,0.0751873,-1,0.257314,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.162234,-1,-1,0.107291,-1,-1,0.0265984,-1,0.0347783,-1,0.0256133,-1,0.381713,-1,0.0186242,-1,0.00866995,0.010936,0.026505,-1,0.0176388,-1,0.0416708,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0151696,-1,-1,0.0180296,-1,-1,0.0137918,-1,0.0189163,-1,0.0402916,-1,0.0396098,-1,0.0200038,-1,0.00472906,0.00591133,0.007981,-1,0.0175403,-1,0.0296523,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0080774,-1,-1,0.042266,-1,-1,0.0141859,-1,0.0250246,-1,0.0251207,-1,0.0201004,-1,0.0829721,-1,0.00748768,0.00325123,0.00443384,-1,0.0171461,-1,0.0122156,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.245862,-1,-1,0.0758621,-1,-1,0.00738852,-1,0.0151724,-1,0.0178308,-1,0.0177357,-1,0.0367559,-1,0.0105419,0.00364532,0.00197054,-1,0.0103467,-1,0.00994984,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00334928,-1,-1,0.0134975,-1,-1,0.00768406,-1,0.00581281,-1,0.00827513,-1,0.00916338,-1,0.0151753,-1,0.0216749,0.00748768,0.00226614,-1,0.00256189,-1,0.00955579,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0174351,-1,-1,0.00433498,-1,-1,0.00955579,-1,0.00522167,-1,0.00571381,-1,0.00857219,-1,0.00374439,-1,0.00847291,0.0106404,0.00453237,-1,0.00384294,-1,0.00512274,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00305377,-1,-1,0.0969458,-1,-1,0.00246291,-1,0.00512315,-1,0.00236439,-1,0.00433531,-1,0.00571523,-1,0.00403941,0.00600985,0.00857219,-1,0.00335023,-1,0.00423613,-1
