Fishery,year
137700,1966
214370,1967
122180,1968
180130,1969
234590,1970
154620,1971
117540,1972
162640,1973
211260,1974
221350,1975
237520,1976
132690,1977
103637,1978
137110,1979
89930,1980
139120,1981
107741,1982
113931,1983
138492,1984
110399,1985
210616,1986
234148,1987
248840,1988
298079,1989
261286,1990
319705,1991
299650,1992
198905,1993
362407,1994
249495,1995
306299,1996
325147,1997
320722,1998
311887,1999
228777,2000
227525,2001
180697,2002
205162,2003
342307,2004
363135,2005
361699,2006
293389,2007
321802,2008
177171,2009
230755,2010
291670,2011
205787,2012
285591,2013
298705,2014
190663,2015
329427,2016
440380,2017
410443,2018
